title,bookID,author,rating,ratingsCount,reviewsCount
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",9,W. Frederick Zimmerman,3.73,22,1
"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",8,J.K. Rowling,4.77,34107,156
Harry Potter and the Sorcerer's Stone,3,J.K. Rowling,4.44,4911929,77741
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1,J.K. Rowling,4.54,1810404,28053
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2,J.K. Rowling,4.47,1862749,29308
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4,J.K. Rowling,4.38,1936698,35055
"The Harry Potter Collection (Harry Potter, #1-6)",7,J.K. Rowling,4.73,26702,909
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5,J.K. Rowling,4.53,2000827,37005
Charlie Oink (Easy Peasy People),8053,Roger Hargreaves,4.33,3,0
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",6,J.K. Rowling,4.53,1897821,31817
"My Country Right or Left: 1940-1943 (The Collected Essays, Journalism & Letters, Vol. 2)",9643,George Orwell,4.3,445,24
Why I Write,9644,George Orwell,4.04,5428,479
Bella Tuscany & Under the Tuscan Sun (2 Book Set),7209,Frances Mayes,3.81,429,21
Selected Poems of Herman Melville,3732,Herman Melville,3.9,40,4
The Senator and the Socialite: The True Story of America's First Black Dynasty,3404,Lawrence Otis Graham,3.92,154,34
Great Short Works of Herman Melville,3731,Herman Melville,4.05,463,19
Vance Packard & American Social Criticism,3729,Daniel Horowitz,3,1,0
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,7214,Donald Miller,3.92,83897,3598
"Redburn, White-Jacket, Moby-Dick",3733,Herman Melville,4.18,942,68
The Hidden Persuaders,3730,Vance Packard,3.91,763,58
Moon Metro Paris,7063,Avalon Travel,3.33,3,0
Morality For Beautiful Girls (No. 1 Ladies' Detective Agency),7056,Alexander McCall Smith,3.97,32747,1544
"Morality for Beautiful Girls (No. 1 Ladies' Detective Agency, #3)",7059,Alexander McCall Smith,3.97,32747,1544
"My Days Are Swifter Than A Weaver's Shuttle: [Richard Ryley's Diary, 1862",5669,Richard Ryley,0,0,0
"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",7061,Alexander McCall Smith,3.75,191137,9471
"The Good Husband of Zebra Drive (No. 1 Ladies' Detective Agency, #8)",7058,Alexander McCall Smith,4.06,20396,1082
Paris to the Moon,7062,Adam Gopnik,3.76,11702,962
"In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency, #6)",7057,Alexander McCall Smith,4.07,22518,1008
"The Belly of Paris (Les Rougon-Macquart, #3)",7064,Émile Zola,3.9,3016,243
Underneath a Harlem Moon: The Harlem to Paris Years of Adelaide Hall,7065,Iain Cameron Williams,4.67,3,0
sliding home,514,Ray Holan,5,1,1
Sliding for Home,513,Frank Moher,1,1,1
"Harry Potter Collection (Harry Potter, #1-6)",10,J.K. Rowling,4.73,26702,909
Walt Disney's Uncle Scrooge: Hawaiian Hideaway (Gladstone Comic Album Series No. 11),5313,Carl Barks,4,16,0
The Last Christmas of Ebenezer Scrooge,5314,Marvin Kaye,4,14,2
How to Cook Everything: Holiday Cooking,2606,Mark Bittman,3.53,15,0
How to Cook Everything: Easy Weekend Cooking,2605,Mark Bittman,3.59,17,1
"Walt Disney's Uncle Scrooge & Donald Duck: The Sunken City (Gladstone Giant Comic Album Series, #2)",5312,Carl Barks,4.41,39,1
Programming Ruby: The Pragmatic Programmers' Guide,515,Dave Thomas,4.06,1713,73
The Financial Wisdom of Ebenezer Scrooge: Transforming Your Relationship with Money,5311,Ted Klontz,3.53,60,10
Aleph Isn't Tough: An Introduction to Hebrew for Adults (Book 1),5785,Linda Motzkin,4.31,74,4
The Compact Rock Guitar Chord Reference,741,Len Vogler,0,0,0
Jazz Guitar Chord Melodies,742,Towey Dan,3,1,0
The Davinci Cult,6377,Peter C. Spencer,3.75,4,0
The Advanced Guitar Case Chord Book: Compact Reference Library,744,Askold Buk,3.33,3,0
The Guitar Three-Chord Songbook: Play 50 Rock Hits with Only 3 Easy Chords,743,Songbook,3.5,8,0
The Beatles Guitar Chord Songbook: A-I (Guitar Chord Songbooks),740,The Beatles,4.25,8,0
"The Mystery of the Aleph: Mathematics, the Kabbalah, and the Search for Infinity",5786,Amir D. Aczel,3.85,585,44
"Ordinary Work, Extraordinary Grace: My Spiritual Journey in Opus Dei",6376,Scott Hahn,4.28,318,23
Personal Finance For Dummie$ For Canadians,3608,Eric Tyson,3.76,62,8
The Faking of the Vice-President: A Guide to Becoming a Superfluous Leader,611,Rich Mintzer,0,0,0
Grand Theft Auto: Vice City Stories Official Strategy Guide,610,Brady Games,4.43,14,0
On Moral Character: A Practical Guide to Aristotle's Virtues and Vices,613,Jody Palmour,0,0,0
Decadent health: A survival guide for elegant people with vice,614,Mark David Baer,0,0,0
Grand Theft Auto: Vice City Official Strategy Guide (Bradygames Signature Guides),608,Tim Bogenn,4.1,42,1
Grand Theft Auto: Vice City Official Strategy Guide for PC,609,Tim Bogenn,4.1,42,1
"An ABC of Vice: An Insatiable Women's Guide, Alphabetized",612,Nicole Hollander,4.6,10,2
Corporate Vices: What's Gone Wrong with Business?,607,Charles Cohen,2.67,3,0
